domain,source_mode,run_id,category,region,rank,overall_score,grade,no_pre_consent_trackers,reject_option_available,equal_accept_reject_effort,no_dark_patterns,post_reject_compliance,transparent_information,cmp_detected,dark_pattern_count,pre_consent_tracker_count,total_pre_consent_cookies
kayak.com,real_combined,batch-0,travel,US/EU,100,11.5,F,10,0,0,60,0,0,Cookiebot,1,7,18
khanacademy.org,real_combined,batch-0,education,US/EU,39,16.5,F,10,0,50,30,0,20,OneTrust,2,6,4
lemonde.fr,real_combined,batch-0,news,FR,2,11.5,F,0,0,0,30,0,70,,2,4,7
leroymerlin.fr,real_combined,batch-0,e-commerce,FR,75,24,F,60,0,0,60,0,0,,1,1,1
lesechos.fr,real_combined,batch-0,news,FR,70,34,F,100,0,0,60,0,0,,1,0,0
linkedin.com,real_combined,batch-0,social_media,US/EU,25,59.5,D,0,100,100,100,50,20,,0,4,11
mastodon.social,real_combined,batch-0,social_media,EU,83,28,F,60,0,0,60,0,40,,1,1,0
mediamarkt.de,real_combined,batch-0,e-commerce,DE,18,53.5,D,10,100,100,60,0,70,TrustArc,1,6,9
mozilla.org,real_combined,batch-0,tech,US/EU,45,56.5,D,60,100,100,30,0,20,TrustArc,2,1,0
n-tv.de,real_combined,batch-0,news,DE,63,11.5,F,10,0,0,60,0,0,,1,10,4
n26.com,real_combined,batch-0,finance,DE/EU,56,69,C,30,100,100,60,50,100,OneTrust,1,3,5
netflix.com,real_combined,batch-0,entertainment,US/EU,34,60.5,C,10,100,100,100,0,80,OneTrust,0,6,8
nos.nl,real_combined,batch-0,news,NL,67,11.5,F,10,0,0,60,0,0,,1,6,11
nytimes.com,real_combined,batch-0,news,US/EU,7,51,D,0,100,100,60,0,70,,1,10,20
openclassrooms.com,real_combined,batch-0,education,FR/EU,40,11,F,0,0,0,60,0,20,Cookiebot,1,14,11
otto.de,real_combined,batch-0,e-commerce,DE,19,61.5,C,30,100,100,60,0,100,OneTrust,1,1,4
paypal.com,real_combined,batch-0,finance,US/EU,53,11,F,0,0,0,60,0,20,,1,4,11
pinterest.com,real_combined,batch-0,social_media,US/EU,80,13.5,F,10,0,0,60,0,20,,1,6,6
politico.eu,real_combined,batch-0,news,EU,62,11,F,0,0,0,60,0,20,TrustArc,1,11,20
publico.es,real_combined,batch-0,news,ES,68,13,F,0,0,0,60,0,40,Didomi,1,18,26
rakuten.fr,real_combined,batch-0,marketplace,FR,77,11.5,F,10,0,0,60,0,0,,1,6,4
reddit.com,real_combined,batch-0,social_media,US/EU,21,34,F,100,0,0,60,0,0,,1,0,1
repubblica.it,real_combined,batch-0,news,IT,5,34,F,100,0,0,60,0,0,,1,0,0
revolut.com,real_combined,batch-0,finance,UK/EU,55,68.5,C,60,100,100,60,50,20,,1,2,4
ryanair.com,real_combined,batch-0,travel,IE/EU,50,34,F,30,0,100,30,0,70,,2,4,7
service-public.fr,real_combined,batch-0,government,FR,28,24,F,60,0,0,60,0,0,,1,2,5
skyscanner.net,real_combined,batch-0,travel,UK/EU,51,11.5,F,10,0,0,60,0,0,,1,7,4
snapchat.com,real_combined,batch-0,social_media,US/EU,82,41,D,100,0,0,60,0,70,TrustArc,1,0,4
soundcloud.com,real_combined,batch-0,entertainment,DE/EU,36,64.5,C,0,100,100,100,50,70,OneTrust,0,24,10
spiegel.de,real_combined,batch-0,news,DE,3,16.5,F,30,0,0,60,0,0,TrustArc,1,4,3
spotify.com,real_combined,batch-0,entertainment,SE/EU,32,67,C,10,100,100,100,50,70,OneTrust,0,9,4
stackoverflow.com,real_combined,batch-0,tech,US/EU,43,24,F,60,0,0,60,0,0,,1,2,1
stripe.com,real_combined,batch-0,finance,US/EU,58,62.5,C,30,100,100,100,0,50,,0,3,0
tagesschau.de,real_combined,batch-0,news,DE,66,16.5,F,30,0,0,60,0,0,,1,5,3
theguardian.com,real_combined,batch-0,news,UK,6,24,F,60,0,0,60,0,0,,1,2,7
tiktok.com,real_combined,batch-0,social_media,US/EU,26,14,F,0,0,0,60,0,50,Cookiebot,1,5,8
trainline.com,real_combined,batch-0,travel,UK/EU,99,11.5,F,0,0,0,30,0,70,OneTrust,2,16,11
tripadvisor.com,real_combined,batch-0,travel,US/EU,52,24,F,60,0,0,60,0,0,,1,1,2
twitch.tv,real_combined,batch-0,entertainment,US/EU,35,64,C,10,100,100,30,100,70,TrustArc,2,9,10
udemy.com,real_combined,batch-0,education,US/EU,88,51,D,0,100,100,60,0,70,OneTrust,1,18,33
vinted.com,real_combined,batch-0,marketplace,LT/EU,79,19,F,0,0,50,30,0,70,OneTrust,2,14,13
wikipedia.org,real_combined,batch-0,tech,EU,47,36,F,100,0,0,60,0,20,,1,0,7
wise.com,real_combined,batch-0,finance,UK/EU,54,18.5,F,30,0,0,60,0,20,Cookiebot,1,5,4
x.com,real_combined,batch-0,social_media,US/EU,22,9,F,10,0,0,30,0,20,TrustArc,2,5,5
youtube.com,real_combined,batch-0,entertainment,US/EU,33,75,B,30,100,100,100,50,100,TrustArc,0,5,5
zoom.us,real_combined,batch-0,tech,US/EU,95,65,C,10,100,100,100,50,50,OneTrust,0,7,10
1177.se,real_combined,batch-1,health,SE,100,18.5,F,30,0,0,60,0,20,OneTrust,1,5,5
aboutyou.de,real_combined,batch-1,e-commerce,DE,14,65.5,C,10,100,100,60,100,40,TrustArc,1,6,2
adecco.com,real_combined,batch-1,employment,CH,95,37,F,60,0,50,30,0,100,OneTrust,2,2,1
admin.ch,real_combined,batch-1,government,CH,80,11.5,F,10,0,0,60,0,0,,1,8,8
amazon.com,real_combined,batch-1,e-commerce,US,2,9,F,0,0,0,60,0,0,,1,42,15
ansa.it,real_combined,batch-1,news,IT,8,6.5,F,0,0,0,30,0,20,,2,17,10
arte.tv,real_combined,batch-1,entertainment,FR,18,36,F,100,0,0,60,0,20,,1,0,1
barclays.co.uk,real_combined,batch-1,finance,UK,81,16.5,F,30,0,0,60,0,0,TrustArc,1,3,3
bbva.com,real_combined,batch-1,finance,ES,83,73,C,30,100,100,100,50,80,OneTrust,0,4,1
bild.de,real_combined,batch-1,news,DE,6,11.5,F,10,0,0,60,0,0,,1,10,10
bundestag.de,real_combined,batch-1,government,DE,26,31.5,F,100,0,0,30,0,20,,2,0,2
cam.ac.uk,real_combined,batch-1,education,UK,71,18.5,F,30,0,0,60,0,20,,1,4,0
catho.com.br,real_combined,batch-1,employment,BR,93,34,F,100,0,0,60,0,0,,1,0,1
cdkeys.com,real_combined,batch-1,e-commerce,UK,61,58,D,0,100,100,100,0,80,Cookiebot,0,16,15
commerzbank.de,real_combined,batch-1,finance,DE,82,76,B,100,100,100,30,50,40,,2,0,6
congreso.es,real_combined,batch-1,government,ES,77,21.5,F,60,0,0,30,0,20,,2,1,3
coolblue.nl,real_combined,batch-1,e-commerce,NL,62,34,F,100,0,0,60,0,0,TrustArc,1,0,4
dazn.com,real_combined,batch-1,entertainment,UK,67,34,F,100,0,0,60,0,0,,1,0,0
doctissimo.fr,real_combined,batch-1,health,FR,47,21.5,F,30,0,0,60,0,50,Didomi,1,3,0
doctolib.fr,real_combined,batch-1,health,FR,49,21.5,F,30,0,0,60,0,50,Quantcast,1,3,7
easyjet.com,real_combined,batch-1,travel,UK,86,31.5,F,30,0,100,60,0,0,TrustArc,1,5,11
elmundo.es,real_combined,batch-1,news,ES,9,62.5,C,0,100,100,100,50,50,Didomi,0,37,32
ethz.ch,real_combined,batch-1,education,CH,72,18.5,F,30,0,0,60,0,20,,1,3,0
google.com,real_combined,batch-1,tech,US,1,29,F,60,0,0,60,0,50,,1,1,3
governo.it,real_combined,batch-1,government,IT,28,27,F,60,0,0,60,0,30,,1,2,5
helsenorge.no,real_combined,batch-1,health,NO,98,36,F,100,0,0,60,0,20,TrustArc,1,0,0
hulu.com,real_combined,batch-1,entertainment,US,17,18.5,F,30,0,0,60,0,20,OneTrust,1,4,1
iberia.com,real_combined,batch-1,travel,ES,40,13.5,F,10,0,0,60,0,20,OneTrust,1,6,2
independent.co.uk,real_combined,batch-1,news,UK,60,9.5,F,0,0,0,30,0,50,,2,10,20
infojobs.it,real_combined,batch-1,employment,IT,44,16.5,F,30,0,0,60,0,0,,1,3,0
infojobs.net,real_combined,batch-1,employment,ES,45,16.5,F,30,0,0,60,0,0,,1,4,8
intesasanpaolo.com,real_combined,batch-1,finance,IT,84,13.5,F,10,0,0,60,0,20,,1,9,10
joyn.de,real_combined,batch-1,entertainment,DE,69,18.5,F,30,0,0,60,0,20,,1,3,3
kleinanzeigen.de,real_combined,batch-1,marketplace,DE,55,18.5,F,30,0,0,60,0,20,,1,4,6
lastampa.it,real_combined,batch-1,news,IT,58,34,F,100,0,0,60,0,0,,1,0,0
lavanguardia.com,real_combined,batch-1,news,ES,59,52,D,0,100,100,100,0,20,Didomi,0,14,2
leboncoin.fr,real_combined,batch-1,marketplace,FR,51,24,F,60,0,0,60,0,0,,1,1,1
liberation.fr,real_combined,batch-1,news,FR,57,24,F,60,0,0,60,0,0,,1,1,1
lmu.de,real_combined,batch-1,education,DE,24,36,F,100,0,0,60,0,20,,1,0,0
lufthansa.com,real_combined,batch-1,travel,DE,37,26,F,60,0,0,60,0,20,TrustArc,1,2,11
marktplaats.nl,real_combined,batch-1,marketplace,NL,52,9,F,0,0,0,60,0,0,,1,10,11
mayoclinic.org,real_combined,batch-1,health,US,97,11.5,F,10,0,0,60,0,0,,1,6,5
mediapart.fr,real_combined,batch-1,news,FR,7,24,F,60,0,0,60,0,0,Cookiebot,1,1,1
microsoft.com,real_combined,batch-1,tech,US,4,16.5,F,30,0,0,60,0,0,Cookiebot,1,4,0
mit.edu,real_combined,batch-1,education,US,21,26,F,60,0,0,60,0,20,,1,2,0
monster.de,real_combined,batch-1,employment,DE,92,24,F,60,0,0,60,0,0,,1,2,0
netdoktor.de,real_combined,batch-1,health,DE,48,26,F,60,0,0,60,0,20,,1,2,1
nhs.uk,real_combined,batch-1,health,UK,46,32,F,60,0,0,60,0,80,Cookiebot,1,2,1
ox.ac.uk,real_combined,batch-1,education,UK,22,16.5,F,10,0,50,30,0,20,TrustArc,2,7,4
parlement.com,real_combined,batch-1,government,FR,79,24,F,60,0,0,60,0,0,,1,1,0
pccomponentes.com,real_combined,batch-1,e-commerce,ES,63,11.5,F,10,0,0,60,0,0,,1,8,5
pole-emploi.fr,real_combined,batch-1,employment,FR,43,18.5,F,30,0,0,60,0,20,,1,5,9
polimi.it,real_combined,batch-1,education,IT,25,71.5,C,10,100,100,100,100,40,,0,8,2
primevideo.com,real_combined,batch-1,entertainment,US,66,18.5,F,30,0,0,60,0,20,Cookiebot,1,3,8
privalia.com,real_combined,batch-1,e-commerce,ES,15,24,F,60,0,0,60,0,0,,1,2,0
rabobank.nl,real_combined,batch-1,finance,NL,85,34,F,100,0,0,60,0,0,,1,0,0
randstad.nl,real_combined,batch-1,employment,NL,94,11.5,F,10,0,0,60,0,0,,1,8,8
reed.co.uk,real_combined,batch-1,employment,UK,91,11.5,F,10,0,0,60,0,0,OneTrust,1,10,10
rijksoverheid.nl,real_combined,batch-1,government,NL,30,24,F,60,0,0,60,0,0,,1,1,5
rtve.es,real_combined,batch-1,entertainment,ES,70,16.5,F,30,0,0,60,0,0,,1,5,0
saludcastillayleon.es,real_combined,batch-1,health,ES,50,18.5,F,30,0,0,60,0,20,,1,3,1
santander.com,real_combined,batch-1,finance,ES,35,26,F,60,0,0,60,0,20,,1,1,6
senato.it,real_combined,batch-1,government,IT,76,18.5,F,30,0,0,60,0,20,,1,4,3
shopify.com,real_combined,batch-1,e-commerce,US,11,47,D,60,0,100,60,0,80,TrustArc,1,1,1
sncf.com,real_combined,batch-1,travel,FR,88,24,F,60,0,0,60,0,0,,1,2,1
sorbonne-universite.fr,real_combined,batch-1,education,FR,23,14,F,30,0,0,30,0,20,TrustArc,2,3,2
stepstone.de,real_combined,batch-1,employment,DE,42,13.5,F,10,0,0,60,0,20,TrustArc,1,7,9
subito.it,real_combined,batch-1,marketplace,IT,53,34,F,100,0,0,60,0,0,,1,0,2
sundhed.dk,real_combined,batch-1,health,DK,99,26,F,60,0,0,60,0,20,,1,2,7
telegraph.co.uk,real_combined,batch-1,news,UK,10,34,F,100,0,0,60,0,0,,1,0,0
thalia.de,real_combined,batch-1,e-commerce,DE,13,13.5,F,10,0,0,60,0,20,TrustArc,1,7,14
thomann.de,real_combined,batch-1,e-commerce,DE,65,18.5,F,30,0,0,60,0,20,Cookiebot,1,2,2
trenitalia.com,real_combined,batch-1,travel,IT,89,9,F,0,0,0,60,0,0,OneTrust,1,11,11
tui.com,real_combined,batch-1,travel,DE,87,16.5,F,30,0,0,60,0,0,,1,4,2
tweedekamer.nl,real_combined,batch-1,government,NL,78,24,F,60,0,0,60,0,0,TrustArc,1,1,5
twitch.com,real_combined,batch-1,entertainment,US,16,64,C,10,100,100,30,100,70,TrustArc,2,8,10
twitter.com,real_combined,batch-1,social_media,US,3,11.5,F,10,0,0,60,0,0,TrustArc,1,4,6
uab.cat,real_combined,batch-1,education,ES,74,14,F,30,0,0,30,0,20,Cookiebot,2,5,0
unieuro.it,real_combined,batch-1,e-commerce,IT,64,11.5,F,10,0,0,60,0,0,OneTrust,1,9,15
unimi.it,real_combined,batch-1,education,IT,75,16.5,F,30,0,0,60,0,0,,1,3,1
upwork.com,real_combined,batch-1,employment,US,41,57,D,0,100,100,100,0,70,OneTrust,0,11,28
uva.nl,real_combined,batch-1,education,NL,73,13.5,F,10,0,0,60,0,20,Cookiebot,1,6,9
wallapop.com,real_combined,batch-1,marketplace,ES,54,34,F,100,0,0,60,0,0,,1,0,0
walmart.com,real_combined,batch-1,e-commerce,US,12,11,F,0,0,0,60,0,20,TrustArc,1,11,29
webmd.com,real_combined,batch-1,health,US,96,19,F,0,0,50,30,0,70,OneTrust,2,14,14
welt.de,real_combined,batch-1,news,DE,56,14,F,30,0,0,30,0,20,,2,5,4
zdf.de,real_combined,batch-1,entertainment,DE,19,34,F,100,0,0,60,0,0,,1,0,0
agenziaentrate.gov.it,real_combined,batch-2,government,IT,72,24,F,60,0,0,60,0,0,,1,1,2
asos.de,real_combined,batch-2,e-commerce,DE,11,24,F,60,0,0,60,0,0,,1,1,2
atresplayer.com,real_combined,batch-2,entertainment,ES,65,9,F,0,0,0,60,0,0,Didomi,1,19,10
belastingdienst.nl,real_combined,batch-2,government,NL,74,24,F,60,0,0,60,0,0,,1,1,9
belfius.be,real_combined,batch-2,finance,BE,77,24.5,F,60,0,0,30,0,50,OneTrust,2,1,3
