domain,source_mode,run_id,category,region,rank,overall_score,grade,no_pre_consent_trackers,reject_option_available,equal_accept_reject_effort,no_dark_patterns,post_reject_compliance,transparent_information,cmp_detected,dark_pattern_count,pre_consent_tracker_count,total_pre_consent_cookies
zara.com,real_combined,batch-2,e-commerce,ES,12,34,F,100,0,0,60,0,0,,1,0,0
abc.net.au,real_combined,batch-3,news,AU,59,16.5,F,30,0,0,60,0,0,TrustArc,1,5,17
aegeanair.com,real_combined,batch-3,travel,GR,37,34,F,100,0,0,60,0,0,,1,0,0
aeroflot.com,real_combined,batch-3,travel,RU,40,24,F,60,0,0,60,0,0,,1,1,2
aliexpress.com,real_combined,batch-3,e-commerce,CN,2,57.5,D,10,100,100,100,0,50,,0,8,9
ameli.fr,real_combined,batch-3,health,FR,48,59.5,D,30,100,100,100,0,20,TrustArc,0,5,6
anibis.ch,real_combined,batch-3,marketplace,CH,52,24,F,60,0,0,60,0,0,,1,2,1
aponet.de,real_combined,batch-3,health,DE,97,33.5,F,100,0,0,30,0,40,,2,0,1
bancapopolare.it,real_combined,batch-3,finance,IT,83,18.5,F,30,0,0,60,0,20,Cookiebot,1,5,3
bankinter.com,real_combined,batch-3,finance,ES,34,62.5,C,30,100,100,100,0,50,OneTrust,0,4,18
bazos.cz,real_combined,batch-3,marketplace,CZ,54,18.5,F,30,0,0,60,0,20,Cookiebot,1,2,4
bing.com,real_combined,batch-3,tech,US,1,32,F,0,0,100,60,0,80,Cookiebot,1,4,26
bmg.bund.de,real_combined,batch-3,government,DE,76,24,F,60,0,0,60,0,0,,1,1,0
boulanger.com,real_combined,batch-3,e-commerce,FR,13,34,F,100,0,0,60,0,0,,1,0,0
brusselsairlines.com,real_combined,batch-3,travel,BE,38,18.5,F,30,0,0,60,0,20,TrustArc,1,4,8
cbs.nl,real_combined,batch-3,government,NL,30,16.5,F,30,0,0,60,0,0,,1,5,7
columbia.edu,real_combined,batch-3,education,US,71,24,F,60,0,0,60,0,0,,1,2,3
credem.it,real_combined,batch-3,finance,IT,33,62,C,10,100,100,100,50,20,,0,6,6
custojusto.pt,real_combined,batch-3,marketplace,PT,53,18.5,F,30,0,0,60,0,20,Cookiebot,1,5,1
data.gov.uk,real_combined,batch-3,government,UK,26,67,C,60,100,100,100,0,20,TrustArc,0,1,1
dauphine.psl.eu,real_combined,batch-3,education,FR,74,52,D,10,100,100,30,0,100,,2,4,6
diplomatie.gouv.fr,real_combined,batch-3,government,FR,77,74.5,C,100,100,100,30,0,100,,2,0,7
discoveryplus.com,real_combined,batch-3,entertainment,US,66,13.5,F,10,0,0,60,0,20,OneTrust,1,7,11
dkb.de,real_combined,batch-3,finance,DE,35,18.5,F,10,0,0,60,0,70,Usercentrics,1,8,9
doctoralia.com,real_combined,batch-3,health,ES,98,67.5,C,0,100,100,100,50,100,OneTrust,0,19,12
esteri.it,real_combined,batch-3,government,IT,78,13.5,F,10,0,0,60,0,20,,1,5,28
exteriores.gob.es,real_combined,batch-3,government,ES,79,11.5,F,10,0,0,60,0,0,,1,8,10
faz.net,real_combined,batch-3,news,DE,6,11.5,F,10,0,0,60,0,0,OneTrust,1,7,4
filmin.es,real_combined,batch-3,entertainment,ES,70,59.5,D,0,100,100,100,50,20,,0,12,14
gesundheitsinformation.de,real_combined,batch-3,health,DE,47,24,F,60,0,0,60,0,0,,1,2,0
government.nl,real_combined,batch-3,government,NL,80,24,F,60,0,0,60,0,0,,1,2,5
gratka.pl,real_combined,batch-3,marketplace,PL,55,11,F,0,0,0,60,0,20,,1,8,6
guliver.de,real_combined,batch-3,employment,DE,42,13.5,F,10,0,0,60,0,20,,1,7,5
handelsblatt.de,real_combined,batch-3,news,DE,56,18.5,F,30,0,0,60,0,20,,1,3,2
hu-berlin.de,real_combined,batch-3,education,DE,73,34,F,100,0,0,60,0,0,,1,0,0
icelandair.com,real_combined,batch-3,travel,IS,88,41,D,60,0,100,60,0,20,OneTrust,1,1,2
ilmessaggero.it,real_combined,batch-3,news,IT,8,6.5,F,0,0,0,30,0,20,TrustArc,2,13,5
inps.it,real_combined,batch-3,government,IT,28,74.5,C,30,100,100,100,100,20,,0,4,16
jobnet.dk,real_combined,batch-3,employment,DK,95,9,F,10,0,0,30,0,20,Cookiebot,2,8,0
jobs.ch,real_combined,batch-3,employment,CH,93,26,F,60,0,0,60,0,20,TrustArc,1,2,5
jobteaser.com,real_combined,batch-3,employment,FR,91,36.5,F,30,0,100,60,0,50,Didomi,1,4,11
karriere.at,real_combined,batch-3,employment,AT,92,24,F,60,0,0,60,0,0,,1,1,2
kbc.be,real_combined,batch-3,finance,BE,85,18.5,F,30,0,0,60,0,20,Cookiebot,1,3,7
kcl.ac.uk,real_combined,batch-3,education,UK,22,62,C,10,100,100,100,50,20,OneTrust,0,8,3
kry.se,real_combined,batch-3,health,SE,100,18.5,F,30,0,0,60,0,20,Usercentrics,1,4,0
leparisien.fr,real_combined,batch-3,news,FR,57,66.5,C,10,100,100,60,100,50,Didomi,1,7,6
lidl.de,real_combined,batch-3,e-commerce,DE,12,24,F,60,0,0,60,0,0,OneTrust,1,2,0
lot.com,real_combined,batch-3,travel,PL,39,34,F,100,0,0,60,0,0,,1,0,0
luxair.lu,real_combined,batch-3,travel,LU,90,21.5,F,30,0,0,60,0,50,Didomi,1,4,5
mediaworld.it,real_combined,batch-3,e-commerce,IT,14,24,F,60,0,0,60,0,0,TrustArc,1,1,3
medlineplus.gov,real_combined,batch-3,health,US,46,9,F,0,0,0,60,0,0,TrustArc,1,7,6
michaelpage.com,real_combined,batch-3,employment,UK,41,9,F,10,0,0,30,0,20,OneTrust,2,6,4
miodottore.it,real_combined,batch-3,health,IT,99,26,F,0,0,100,60,0,20,OneTrust,1,13,12
mirror.co.uk,real_combined,batch-3,news,UK,10,16,F,0,0,0,60,0,70,Quantcast,1,21,8
mitele.es,real_combined,batch-3,entertainment,ES,20,13.5,F,10,0,0,60,0,20,,1,7,1
molotov.tv,real_combined,batch-3,entertainment,FR,18,17,F,30,0,0,30,0,50,Didomi,2,5,2
notino.de,real_combined,batch-3,e-commerce,DE,61,11.5,F,10,0,0,60,0,0,Usercentrics,1,8,15
nouvelobs.com,real_combined,batch-3,news,FR,7,14,F,10,0,0,30,0,70,,2,7,5
peacocktv.com,real_combined,batch-3,entertainment,US,16,24,F,60,0,0,60,0,0,OneTrust,1,1,2
pegasus.com.tr,real_combined,batch-3,travel,TR,87,16.5,F,30,0,0,60,0,0,,1,4,1
polytechnique.edu,real_combined,batch-3,education,FR,24,9,F,10,0,0,30,0,20,TrustArc,2,7,2
postbank.de,real_combined,batch-3,finance,DE,81,18.5,F,30,0,0,60,0,20,Usercentrics,1,4,2
pracuj.pl,real_combined,batch-3,employment,PL,94,18.5,F,30,0,0,60,0,20,,1,4,9
prosieben.de,real_combined,batch-3,entertainment,DE,17,18.5,F,30,0,0,60,0,20,,1,3,4
regionsjob.com,real_combined,batch-3,employment,FR,43,18.5,F,30,0,0,60,0,20,Cookiebot,1,3,5
reuters.com,real_combined,batch-3,news,US,60,24,F,60,0,0,60,0,0,,1,1,1
sanidad.gob.es,real_combined,batch-3,health,ES,50,9,F,0,0,0,60,0,0,,1,8,5
sas.se,real_combined,batch-3,travel,SE,89,14,F,30,0,0,30,0,20,TrustArc,2,3,2
service-civique.gouv.fr,real_combined,batch-3,government,FR,27,29,F,60,0,0,60,0,50,Didomi,1,2,1
signal.org,real_combined,batch-3,social_media,US,3,34,F,100,0,0,60,0,0,,1,0,0
spartoo.com,real_combined,batch-3,e-commerce,FR,64,56,D,10,100,100,60,50,20,,1,5,6
swiss.com,real_combined,batch-3,travel,CH,36,26,F,60,0,0,60,0,20,TrustArc,1,2,9
tecnoempleo.com,real_combined,batch-3,employment,ES,45,24,F,60,0,0,60,0,0,,1,1,1
timvision.it,real_combined,batch-3,entertainment,IT,69,34,F,100,0,0,60,0,0,,1,0,0
tum.de,real_combined,batch-3,education,DE,23,26,F,60,0,0,60,0,20,TrustArc,1,2,0
tvnow.de,real_combined,batch-3,entertainment,DE,67,38.5,F,30,0,100,60,0,70,Didomi,1,5,1
ubs.com,real_combined,batch-3,finance,CH,31,24,F,60,0,0,60,0,0,,1,1,5
viber.com,real_combined,batch-3,social_media,EU,4,58,D,0,100,100,100,0,80,OneTrust,0,10,10
vinted.de,real_combined,batch-3,marketplace,DE,51,16,F,0,0,0,60,0,70,OneTrust,1,15,14
wechat.com,real_combined,batch-3,social_media,CN,5,34,F,100,0,0,60,0,0,,1,0,0
wish.com,real_combined,batch-3,e-commerce,US,11,44.5,D,10,100,100,0,0,70,Quantcast,3,8,12
wizzair.com,real_combined,batch-3,travel,HU,86,28,F,60,0,0,60,0,40,OneTrust,1,2,1
yale.edu,real_combined,batch-3,education,US,21,9,F,0,0,0,60,0,0,TrustArc,1,6,7
adzuna.co.uk,real_combined,batch-4,employment,UK,42,22,F,0,0,50,30,0,100,TrustArc,2,17,8
allegro.cz,real_combined,batch-4,marketplace,CZ,53,16.5,F,30,0,0,60,0,0,,1,4,3
alsa.es,real_combined,batch-4,travel,ES,88,64,C,10,100,100,100,50,40,Didomi,0,6,13
amazon.es,real_combined,batch-4,e-commerce,ES,65,13.5,F,10,0,0,60,0,20,,1,7,10
avito.ru,real_combined,batch-4,marketplace,RU,52,16.5,F,30,0,0,60,0,0,,1,3,6
bestbuy.com,real_combined,batch-4,e-commerce,US,11,16.5,F,30,0,0,60,0,0,,1,2,10
bfmtv.com,real_combined,batch-4,news,FR,57,19,F,0,0,0,60,0,100,OneTrust,1,13,6
bloomberg.com,real_combined,batch-4,news,US,60,11.5,F,10,0,0,60,0,0,,1,8,11
bmwi.de,real_combined,batch-4,government,DE,27,18.5,F,30,0,0,60,0,20,Cookiebot,1,4,0
boursorama.com,real_combined,batch-4,finance,FR,32,19.5,F,10,0,50,30,0,50,Didomi,2,7,2
bunq.com,real_combined,batch-4,finance,NL,35,75.5,B,10,100,100,100,100,80,TrustArc,0,10,9
caltech.edu,real_combined,batch-4,education,US,71,13.5,F,10,0,0,60,0,20,TrustArc,1,6,4
careerbuilder.com,real_combined,batch-4,employment,US,91,21.5,F,10,0,50,30,0,70,OneTrust,2,5,12
centralesupelec.fr,real_combined,batch-4,education,FR,74,59.5,D,30,100,100,100,0,20,TrustArc,0,5,3
cope.es,real_combined,batch-4,news,ES,59,59.5,D,0,100,100,100,50,20,Didomi,0,20,5
cun.es,real_combined,batch-4,health,ES,50,61,C,10,100,100,60,50,70,Cookiebot,1,7,3
darty.com,real_combined,batch-4,e-commerce,FR,13,34,F,100,0,0,60,0,0,,1,0,1
doctoranytime.gr,real_combined,batch-4,health,GR,98,13.5,F,10,0,0,60,0,20,Cookiebot,1,6,4
doktorsitesi.com,real_combined,batch-4,health,TR,99,46,D,0,100,100,60,0,20,,1,9,15
douglas.de,real_combined,batch-4,e-commerce,DE,62,34,F,100,0,0,60,0,0,,1,0,3
dr.dk,real_combined,batch-4,entertainment,DK,68,26,F,60,0,0,60,0,20,Cookiebot,1,2,4
dropbox.com,real_combined,batch-4,tech,US,1,18.5,F,30,0,0,60,0,20,TrustArc,1,4,10
drugs.com,real_combined,batch-4,health,US,46,34,F,100,0,0,60,0,0,,1,0,0
duunitori.fi,real_combined,batch-4,employment,FI,94,11,F,0,0,0,60,0,20,,1,10,4
economie.gouv.fr,real_combined,batch-4,government,FR,28,16.5,F,30,0,0,60,0,0,,1,3,2
eda.admin.ch,real_combined,batch-4,government,CH,76,26,F,60,0,0,60,0,20,Cookiebot,1,2,0
elperiodico.com,real_combined,batch-4,news,ES,9,64.5,C,0,100,100,100,50,70,Didomi,0,19,4
euronics.it,real_combined,batch-4,e-commerce,IT,14,6.5,F,0,0,0,30,0,20,OneTrust,2,15,25
eurostar.com,real_combined,batch-4,travel,EU,40,17,F,0,0,50,30,0,50,TrustArc,2,11,8
evo.es,real_combined,batch-4,finance,ES,84,19,F,30,0,0,30,0,70,TrustArc,2,4,6
fanpage.it,real_combined,batch-4,news,IT,58,34,F,100,0,0,60,0,0,,1,0,0
fineco.it,real_combined,batch-4,finance,IT,33,14,F,30,0,0,30,0,20,OneTrust,2,5,4
flixbus.com,real_combined,batch-4,travel,DE,36,11.5,F,10,0,0,60,0,0,Usercentrics,1,6,9
hasznaltauto.hu,real_combined,batch-4,marketplace,HU,55,24,F,60,0,0,60,0,0,,1,2,1
hec.edu,real_combined,batch-4,education,FR,24,29,F,0,0,100,60,0,50,TrustArc,1,9,8
hype.it,real_combined,batch-4,finance,IT,83,5,F,0,0,0,0,0,50,OneTrust,3,10,6
jameda.de,real_combined,batch-4,health,DE,97,61.5,C,0,100,100,100,50,40,OneTrust,0,15,9
jobbsafari.se,real_combined,batch-4,employment,SE,92,11.5,F,10,0,0,60,0,0,Cookiebot,1,4,2
jobindex.dk,real_combined,batch-4,employment,DK,93,21.5,F,60,0,0,30,0,20,Cookiebot,2,1,1
kit.edu,real_combined,batch-4,education,DE,23,34,F,100,0,0,60,0,0,,1,0,1
la7.it,real_combined,batch-4,entertainment,IT,19,11,F,0,0,0,60,0,20,,1,20,25
lci.fr,real_combined,batch-4,news,FR,7,14,F,0,0,0,60,0,50,OneTrust,1,9,12
line.me,real_combined,batch-4,social_media,JP,3,11.5,F,10,0,0,60,0,0,,1,4,2
lse.ac.uk,real_combined,batch-4,education,UK,22,70,C,10,100,100,100,50,100,OneTrust,0,10,3
lydia-app.com,real_combined,batch-4,finance,FR,82,18.5,F,30,0,0,60,0,20,,1,5,0
mercadolivre.com.br,real_combined,batch-4,marketplace,BR,51,26,F,0,0,100,60,0,20,OneTrust,1,10,7
meteojob.com,real_combined,batch-4,employment,FR,43,16.5,F,30,0,0,60,0,0,,1,4,1
metro.co.uk,real_combined,batch-4,news,UK,10,11,F,0,0,0,60,0,20,Quantcast,1,12,2
monster.es,real_combined,batch-4,employment,ES,45,24,F,60,0,0,60,0,0,,1,2,0
monster.it,real_combined,batch-4,employment,IT,44,24,F,60,0,0,60,0,0,,1,2,0
monzo.com,real_combined,batch-4,finance,UK,85,16.5,F,30,0,0,60,0,0,TrustArc,1,3,1
nationalexpress.com,real_combined,batch-4,travel,UK,89,19.5,F,10,0,50,30,0,50,OneTrust,2,8,8
nav.no,real_combined,batch-4,employment,NO,95,39,F,100,0,0,60,0,50,Cookiebot,1,0,3
nrk.no,real_combined,batch-4,entertainment,NO,67,9,F,0,0,0,60,0,0,,1,4,8
onmeda.de,real_combined,batch-4,health,DE,47,16.5,F,30,0,0,60,0,0,Quantcast,1,4,3
openbank.es,real_combined,batch-4,finance,ES,34,18.5,F,30,0,0,60,0,20,,1,5,6
ouibus.com,real_combined,batch-4,travel,FR,86,24,F,60,0,0,60,0,0,,1,2,1
ouigo.com,real_combined,batch-4,travel,FR,37,33.5,F,10,0,100,60,0,70,TrustArc,1,10,9
paginemediche.it,real_combined,batch-4,health,IT,49,13.5,F,10,0,0,60,0,20,Cookiebot,1,5,6
passeportsante.net,real_combined,batch-4,health,FR,48,24,F,60,0,0,60,0,0,,1,1,3
practo.com,real_combined,batch-4,health,IN,100,16.5,F,30,0,0,60,0,0,,1,3,4
princeton.edu,real_combined,batch-4,education,US,21,16.5,F,30,0,0,60,0,0,TrustArc,1,3,2
quotidiano.net,real_combined,batch-4,news,IT,8,20,F,0,0,50,30,0,80,,2,29,36
regeringen.dk,real_combined,batch-4,government,DK,80,32.5,F,60,0,50,0,0,100,Cookiebot,3,1,3
regjeringen.no,real_combined,batch-4,government,NO,78,14,F,30,0,0,30,0,20,,2,3,4
renfe.com,real_combined,batch-4,travel,ES,39,9,F,10,0,0,30,0,20,OneTrust,2,7,7
rtl.de,real_combined,batch-4,entertainment,DE,17,11.5,F,10,0,0,60,0,0,,1,6,5
saturn.de,real_combined,batch-4,e-commerce,DE,12,34,F,100,0,0,60,0,0,,1,0,2
scalable.capital,real_combined,batch-4,finance,DE,81,26,F,60,0,0,60,0,20,Usercentrics,1,2,0
stern.de,real_combined,batch-4,news,DE,6,11.5,F,10,0,0,60,0,0,,1,8,6
stm.fi,real_combined,batch-4,government,FI,79,36,F,100,0,0,60,0,20,,1,0,3
svtplay.se,real_combined,batch-4,entertainment,SE,69,18.5,F,30,0,0,60,0,20,Cookiebot,1,3,0
tagesspiegel.de,real_combined,batch-4,news,DE,56,11,F,0,0,0,60,0,20,,1,17,24
target.com,real_combined,batch-4,e-commerce,US,2,9,F,0,0,0,60,0,0,,1,16,31
telecinco.es,real_combined,batch-4,entertainment,ES,20,59.5,D,0,100,100,100,50,20,Didomi,0,25,21
tf1.fr,real_combined,batch-4,entertainment,FR,18,65,C,10,100,100,100,50,50,Didomi,0,8,16
traderepublic.com,real_combined,batch-4,finance,DE,31,61,C,60,100,100,60,0,20,TrustArc,1,1,3
uc3m.es,real_combined,batch-4,education,ES,25,13.5,F,10,0,0,60,0,20,,1,4,6
uni-heidelberg.de,real_combined,batch-4,education,DE,73,24,F,60,0,0,60,0,0,,1,1,3
unitn.it,real_combined,batch-4,education,IT,75,16.5,F,30,0,0,60,0,0,,1,3,4
viaplay.com,real_combined,batch-4,entertainment,SE,66,67,C,10,100,100,100,50,70,OneTrust,0,6,5
vk.com,real_combined,batch-4,social_media,RU,5,13.5,F,10,0,0,60,0,20,,1,5,34
vy.no,real_combined,batch-4,travel,NO,90,24,F,60,0,0,60,0,0,,1,1,1
warwick.ac.uk,real_combined,batch-4,education,UK,72,17,F,30,0,0,30,0,50,,2,3,0
weibo.com,real_combined,batch-4,social_media,CN,4,18.5,F,30,0,0,60,0,20,,1,5,12
whitehouse.gov,real_combined,batch-4,government,US,26,34,F,100,0,0,60,0,0,,1,0,1
willhaben.at,real_combined,batch-4,marketplace,AT,54,34,F,100,0,0,60,0,0,,1,0,0
workday.com,real_combined,batch-4,employment,US,41,6.5,F,0,0,0,30,0,20,TrustArc,2,17,6
worten.pt,real_combined,batch-4,e-commerce,PT,15,24,F,60,0,0,60,0,0,,1,2,0
yle.fi,real_combined,batch-4,entertainment,FI,70,18.5,F,30,0,0,60,0,20,,1,2,6
yves-rocher.fr,real_combined,batch-4,e-commerce,FR,63,34,F,100,0,0,60,0,0,,1,0,1
zalando.fr,real_combined,batch-4,e-commerce,FR,61,16.5,F,30,0,0,60,0,0,Usercentrics,1,3,0
zocdoc.com,real_combined,batch-4,health,US,96,24,F,60,0,0,60,0,0,,1,1,1
1881.no,real_combined,batch-5,health,NO,97,18.5,F,10,0,0,60,0,70,Didomi,1,9,13
adnkronos.com,real_combined,batch-5,news,IT,58,11,F,0,0,0,60,0,20,Quantcast,1,20,11
aljazeera.com,real_combined,batch-5,news,QA,60,64.5,C,0,100,100,100,50,70,OneTrust,0,19,8
amazon.it,real_combined,batch-5,e-commerce,IT,11,13.5,F,10,0,0,60,0,20,,1,7,10
amazon.nl,real_combined,batch-5,e-commerce,NL,65,24,F,60,0,0,60,0,0,,1,2,1
antena3.com,real_combined,batch-5,entertainment,ES,20,59.5,D,0,100,100,100,50,20,Didomi,0,14,13
apotheken-umschau.de,real_combined,batch-5,health,DE,47,16.5,F,30,0,0,60,0,0,TrustArc,1,2,3
appletv.com,real_combined,batch-5,entertainment,US,16,26,F,60,0,0,60,0,20,,1,2,1
bahn.de,real_combined,batch-5,travel,DE,39,18.5,F,30,0,0,60,0,20,,1,4,22
bayt.com,real_combined,batch-5,employment,AE,92,16.5,F,10,0,50,30,0,20,TrustArc,2,8,9
berkeley.edu,real_combined,batch-5,education,US,21,24,F,60,0,0,60,0,0,,1,2,1
bmi.bund.de,real_combined,batch-5,government,DE,27,79,B,100,100,100,100,0,40,,0,0,5
bmj.bund.de,real_combined,batch-5,government,DE,76,63,C,60,100,100,60,0,40,,1,1,3
bonprix.de,real_combined,batch-5,e-commerce,DE,61,57,D,30,100,100,30,0,100,,2,3,8
bristol.ac.uk,real_combined,batch-5,education,UK,22,72.5,C,10,100,100,100,100,50,TrustArc,0,9,8
cadenaser.com,real_combined,batch-5,news,ES,59,11,F,0,0,0,60,0,20,Cookiebot,1,29,26
cnews.fr,real_combined,batch-5,news,FR,57,68,C,30,100,100,100,50,30,Didomi,0,5,5
conrad.de,real_combined,batch-5,e-commerce,DE,13,11,F,0,0,0,60,0,20,Cookiebot,1,11,7
degiro.com,real_combined,batch-5,finance,NL,32,20,F,10,0,50,0,0,100,Cookiebot,3,8,2
dice.com,real_combined,batch-5,employment,US,41,9,F,0,0,0,60,0,0,Quantcast,1,37,20
directa.it,real_combined,batch-5,finance,IT,33,52,D,0,100,100,100,0,20,,0,12,6
domestika.org,real_combined,batch-5,employment,ES,45,34,F,100,0,0,60,0,0,,1,0,0
e-sante.fr,real_combined,batch-5,health,FR,48,24,F,60,0,0,60,0,0,,1,2,1
ebay-kleinanzeigen.de,real_combined,batch-5,marketplace,DE,51,18.5,F,30,0,0,60,0,20,,1,5,6
edreams.com,real_combined,batch-5,travel,ES,90,14,F,0,0,0,60,0,50,TrustArc,1,12,29
etoro.com,real_combined,batch-5,finance,IL,81,56.5,D,0,100,100,60,50,50,OneTrust,1,14,6
everydayhealth.com,real_combined,batch-5,health,US,46,64.5,C,0,100,100,100,50,70,OneTrust,0,30,45
express.co.uk,real_combined,batch-5,news,UK,10,16,F,0,0,0,60,0,70,Quantcast,1,16,5
flatex.de,real_combined,batch-5,finance,DE,85,22,F,30,0,50,0,0,70,Cookiebot,3,4,0
focus.de,real_combined,batch-5,news,DE,6,13.5,F,10,0,0,60,0,20,,1,8,11
fu-berlin.de,real_combined,batch-5,education,DE,23,34,F,100,0,0,60,0,0,,1,0,0
giustizia.it,real_combined,batch-5,government,IT,78,21.5,F,60,0,0,30,0,20,,2,2,5
govoyages.com,real_combined,batch-5,travel,FR,89,7.5,F,0,0,0,30,0,30,TrustArc,2,10,30
huffingtonpost.fr,real_combined,batch-5,news,FR,7,13.5,F,10,0,0,60,0,20,,1,8,11
humanitas.it,real_combined,batch-5,health,IT,49,52,D,0,100,100,100,0,20,Cookiebot,0,16,13
indexa.com,real_combined,batch-5,finance,ES,84,11.5,F,10,0,0,60,0,0,,1,5,3
interieur.gouv.fr,real_combined,batch-5,government,FR,28,58,D,60,100,100,0,0,80,TrustArc,3,1,3
interior.gob.es,real_combined,batch-5,government,ES,30,60.5,C,30,100,100,100,0,30,Cookiebot,0,5,0
interno.gov.it,real_combined,batch-5,government,IT,29,17,F,60,0,0,0,0,20,TrustArc,3,2,0
jobstreet.com,real_combined,batch-5,employment,SG,95,9,F,0,0,0,60,0,0,,1,10,13
justice.gouv.fr,real_combined,batch-5,government,FR,77,68,C,100,100,100,0,0,80,,3,0,4
justitie.nl,real_combined,batch-5,government,NL,80,24,F,60,0,0,60,0,0,,1,2,5
kabel1.de,real_combined,batch-5,entertainment,DE,67,18.5,F,30,0,0,60,0,20,,1,4,4
kayak.de,real_combined,batch-5,travel,DE,86,9,F,0,0,0,60,0,0,Cookiebot,1,11,10
kiabi.com,real_combined,batch-5,e-commerce,FR,62,24,F,60,0,0,60,0,0,,1,1,2
laredoute.fr,real_combined,batch-5,e-commerce,FR,14,16.5,F,30,0,0,60,0,0,,1,3,1
lbc.co.uk,real_combined,batch-5,marketplace,UK,54,9,F,10,0,0,30,0,20,,2,9,1
linkedin.fr,real_combined,batch-5,employment,FR,91,62.5,C,0,100,100,100,50,50,,0,6,13
m6.fr,real_combined,batch-5,entertainment,FR,18,9.5,F,0,0,0,30,0,50,OneTrust,2,14,6
manchester.ac.uk,real_combined,batch-5,education,UK,72,62.5,C,0,100,100,100,50,50,OneTrust,0,32,43
mediamarkt.es,real_combined,batch-5,e-commerce,ES,12,18.5,F,30,0,0,60,0,20,TrustArc,1,4,8
medicinenet.com,real_combined,batch-5,health,US,98,19,F,0,0,50,30,0,70,OneTrust,2,26,26
momondo.com,real_combined,batch-5,travel,DK,87,11.5,F,10,0,0,60,0,0,Cookiebot,1,6,18
moneyfarm.com,real_combined,batch-5,finance,IT,83,12.5,F,0,0,50,0,0,50,,3,32,31
n-tv.com,real_combined,batch-5,news,DE,56,9,F,0,0,0,60,0,0,,1,11,4
naukri.com,real_combined,batch-5,employment,IN,93,34,F,100,0,0,60,0,0,,1,0,2
netdoktor.dk,real_combined,batch-5,health,DK,96,12,F,10,0,0,30,0,50,Didomi,2,10,1
nextdoor.com,real_combined,batch-5,social_media,US,5,14,F,0,0,0,60,0,50,TrustArc,1,11,10
nrj.fr,real_combined,batch-5,entertainment,FR,68,16.5,F,30,0,0,60,0,0,,1,3,1
omio.com,real_combined,batch-5,travel,DE,36,18.5,F,10,0,0,60,0,70,,1,9,13
ondacero.es,real_combined,batch-5,news,ES,9,59.5,D,0,100,100,100,50,20,Didomi,0,13,11
opodo.com,real_combined,batch-5,travel,UK,88,14,F,0,0,0,60,0,50,TrustArc,1,10,28
oracle.com,real_combined,batch-5,tech,US,1,34,F,100,0,0,60,0,0,,1,0,5
oui.sncf,real_combined,batch-5,travel,FR,40,24,F,60,0,0,60,0,0,,1,2,8
patient.info,real_combined,batch-5,health,UK,99,11,F,0,0,0,60,0,20,Quantcast,1,17,12
pittarosso.com,real_combined,batch-5,e-commerce,IT,63,6.5,F,0,0,0,30,0,20,,2,12,3
realtime.it,real_combined,batch-5,entertainment,IT,69,13.5,F,10,0,0,60,0,20,OneTrust,1,9,1
roku.com,real_combined,batch-5,entertainment,US,66,13.5,F,10,0,0,60,0,20,Cookiebot,1,3,9
rome2rio.com,real_combined,batch-5,travel,AU,37,24,F,60,0,0,60,0,0,,1,2,2
sanitas.es,real_combined,batch-5,health,ES,100,59.5,D,0,100,100,100,50,20,OneTrust,0,10,11
sat1.de,real_combined,batch-5,entertainment,DE,17,18.5,F,30,0,0,60,0,20,,1,5,4
seek.com.au,real_combined,batch-5,employment,AU,94,9,F,0,0,0,60,0,0,,1,22,35
selfbank.es,real_combined,batch-5,finance,ES,34,14,F,30,0,0,30,0,20,Cookiebot,2,3,1
shpock.com,real_combined,batch-5,marketplace,AT,52,13.5,F,10,0,0,60,0,20,Quantcast,1,6,8
sky.it,real_combined,batch-5,entertainment,IT,19,13.5,F,10,0,0,60,0,20,Quantcast,1,7,12
sprinter.es,real_combined,batch-5,e-commerce,ES,64,24,F,60,0,0,60,0,0,,1,2,1
swissquote.com,real_combined,batch-5,finance,CH,35,62,C,10,100,100,100,50,20,,0,9,5
tgcom24.mediaset.it,real_combined,batch-5,news,IT,8,34,F,100,0,0,60,0,0,,1,0,0
thetrainline.com,real_combined,batch-5,travel,UK,38,11.5,F,0,0,0,30,0,70,OneTrust,2,15,10
threads.net,real_combined,batch-5,social_media,US,3,18.5,F,30,0,0,60,0,20,Cookiebot,1,3,1
topdoctors.es,real_combined,batch-5,health,ES,50,13.5,F,10,0,0,60,0,20,Cookiebot,1,8,10
tradera.com,real_combined,batch-5,marketplace,SE,53,11.5,F,10,0,0,60,0,0,TrustArc,1,10,3
transferwise.com,real_combined,batch-5,finance,UK,31,51.5,D,10,100,100,60,0,50,Cookiebot,1,6,5
ub.edu,real_combined,batch-5,education,ES,25,12.5,F,0,0,50,0,0,50,Cookiebot,3,9,6
unifi.it,real_combined,batch-5,education,IT,75,16.5,F,30,0,0,60,0,0,,1,3,2
univ-paris1.fr,real_combined,batch-5,education,FR,24,52,D,30,100,100,30,0,50,TrustArc,2,4,2
upenn.edu,real_combined,batch-5,education,US,71,11.5,F,10,0,0,60,0,0,TrustArc,1,6,6
usa.gov,real_combined,batch-5,government,US,26,9,F,0,0,0,60,0,0,,1,8,5
wayfair.com,real_combined,batch-5,e-commerce,US,2,11.5,F,10,0,0,60,0,0,,1,10,4
wealthsimple.com,real_combined,batch-5,finance,CA,82,13.5,F,10,0,0,60,0,20,TrustArc,1,9,8
